
????

  ??  ????          ????        ??           PID
  TCP    127.0.0.1:57306        0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:57306        127.0.0.1:49467        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50072        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50272        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50706        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:50878        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51057        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51489        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51669        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:51917        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:52372        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:52825        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:53254        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:53554        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:53882        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:54410        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:54581        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:55042        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:55492        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:57213        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:57646        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:57815        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58302        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58597        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58674        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:58856        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59021        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59169        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59438        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59613        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59747        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:59749        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:60598        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:60809        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:61001        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:61651        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:61859        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62041        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62210        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62312        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62329        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62366        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62480        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62655        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62704        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:62790        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63023        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63062        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63227        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63233        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63268        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63382        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63403        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63423        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63558        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63561        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63710        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63729        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63862        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63896        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:63916        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64061        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64154        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64228        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64355        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64390        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64504        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64549        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64711        ESTABLISHED     4672
  TCP    127.0.0.1:57306        127.0.0.1:64987        ESTABLISHED     4672
  TCP    127.0.0.1:57310        0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:57311        0.0.0.0:0              LISTENING       4672
  TCP    127.0.0.1:57646        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:57815        127.0.0.1:57306        ESTABLISHED     4672
  TCP    127.0.0.1:58108        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58123        127.0.0.1:7897         TIME_WAIT       0
  TCP    127.0.0.1:58129        127.0.0.1:9210         TIME_WAIT       0
