"映像名称","PID","会话名      ","会话#   ","内存使用 "
"conhost.exe","39704","Console","1","9,204 K"
"pwsh.exe","39732","Console","1","115,180 K"
"conhost.exe","39832","Console","1","9,200 K"
"pwsh.exe","39860","Console","1","115,248 K"
"conhost.exe","40056","Console","1","9,180 K"
"pwsh.exe","40276","Console","1","115,236 K"
"conhost.exe","40428","Console","1","9,204 K"
"pwsh.exe","40456","Console","1","114,908 K"
"hos.exe","40816","Console","1","4,920 K"
"conhost.exe","40848","Console","1","8,308 K"
"python.exe","40916","Console","1","5,372 K"
"python.exe","40948","Console","1","55,792 K"
"pet.exe","40228","Console","1","13,548 K"
"conhost.exe","40236","Console","1","9,228 K"
"conhost.exe","40256","Console","1","8,168 K"
"pwsh.exe","40528","Console","1","274,320 K"
"conhost.exe","40248","Console","1","9,180 K"
"pwsh.exe","40996","Console","1","115,480 K"
"Code.exe","41592","Console","1","110,028 K"
"java.exe","40096","Console","1","109,408 K"
"Code.exe","41420","Console","1","659,064 K"
"pwsh.exe","40572","Console","1","112,804 K"
"conhost.exe","41488","Console","1","11,312 K"
"OpenConsole.exe","41564","Console","1","15,580 K"
"WindowsTerminal.exe","41736","Console","1","123,336 K"
"pwsh.exe","42344","Console","1","110,868 K"
"conhost.exe","42352","Console","1","11,268 K"
"OpenConsole.exe","42388","Console","1","15,596 K"
"node.exe","42788","Console","1","53,736 K"
"cmd.exe","42856","Console","1","7,452 K"
"node.exe","42876","Console","1","139,536 K"
"esbuild.exe","42928","Console","1","26,060 K"
"clash-verge.exe","44508","Console","1","72,976 K"
"msedgewebview2.exe","44792","Console","1","126,440 K"
"msedgewebview2.exe","44820","Console","1","12,828 K"
"msedgewebview2.exe","44984","Console","1","95,340 K"
"msedgewebview2.exe","44992","Console","1","41,120 K"
"msedgewebview2.exe","45028","Console","1","24,268 K"
"msedgewebview2.exe","43264","Console","1","362,084 K"
"verge-mihomo.exe","45292","Services","0","50,432 K"
"conhost.exe","45308","Services","0","11,980 K"
"Code.exe","46984","Console","1","169,432 K"
"Code.exe","47004","Console","1","321,440 K"
"Code.exe","46144","Console","1","112,016 K"
"Code.exe","46232","Console","1","129,268 K"
"LM Studio.exe","17748","Console","1","272,520 K"
"LM Studio.exe","36824","Console","1","39,900 K"
"LM Studio.exe","45964","Console","1","139,796 K"
"LM Studio.exe","41872","Console","1","54,672 K"
"LM Studio.exe","38440","Console","1","93,292 K"
"LM Studio.exe","46952","Console","1","128,320 K"
"LM Studio.exe","44484","Console","1","67,972 K"
"LM Studio.exe","42804","Console","1","211,508 K"
"LM Studio.exe","30912","Console","1","164,880 K"
"conhost.exe","47352","Console","1","9,416 K"
"msedge.exe","10036","Console","1","285,392 K"
"msedge.exe","41008","Console","1","13,860 K"
"msedge.exe","30620","Console","1","114,976 K"
"msedge.exe","43476","Console","1","48,844 K"
"msedge.exe","40196","Console","1","24,664 K"
"msedge.exe","47016","Console","1","129,024 K"
"msedge.exe","46284","Console","1","55,732 K"
"msedge.exe","46392","Console","1","173,324 K"
"msedge.exe","44304","Console","1","25,784 K"
"msedge.exe","48460","Console","1","33,292 K"
"RuntimeBroker.exe","48508","Console","1","32,992 K"
"ShellHost.exe","43600","Console","1","64,320 K"
"msedge.exe","48048","Console","1","73,936 K"
"msedge.exe","48388","Console","1","139,120 K"
"python.exe","33232","Console","1","99,748 K"
"msedge.exe","48044","Console","1","36,928 K"
"LM Studio.exe","38348","Console","1","5,706,700 K"
"conhost.exe","49108","Console","1","9,416 K"
"pwsh.exe","34480","Console","1","181,780 K"
"conhost.exe","34740","Console","1","9,464 K"
"pwsh.exe","47304","Console","1","162,572 K"
"wpscloudsvr.exe","36584","Console","1","10,240 K"
"svchost.exe","39912","Services","0","9,824 K"
"svchost.exe","41360","Services","0","10,596 K"
"LM Studio.exe","36596","Console","1","5,528,468 K"
"svchost.exe","38500","Services","0","15,260 K"
"powershell.exe","41416","Console","1","72,884 K"
"tasklist.exe","43788","Console","1","12,360 K"
